id,age,score,rank,total
228,80,56.77627337201806,59,64
230,70,76.88311688311688,22,52
232,80,88.52647352647352,5,64
276,50,68.54602810438773,2,2
315,70,73.93653516295026,29,52
339,80,61.99643493761141,54,64
341,80,71.6049500237982,32,64
476,80,70.19324986390855,36,64
477,80,75.92207792207792,21,64
479,70,85.72210398297355,11,52
486,80,75.66365599842922,22,64
488,80,52.81499202551835,63,64
490,80,57.28811820233942,58,64
492,70,86.01537765716871,9,52
494,70,68.17102778527112,38,52
495,80,86.86806526806528,6,64
496,80,72.48399487836107,30,64
505,70,90.92011019283748,7,52
511,80,53.04195804195805,62,64
512,80,80.91202819797327,17,64
513,80,69.56611570247935,38,64
518,80,74.00000000000001,25,64
519,80,63.26354453627181,51,64
520,80,59.38668986515877,57,64
527,70,47.19131614654003,52,52
534,70,76.27806179150923,24,52
535,80,92.41330834114339,3,64
536,80,68.09312638580933,46,64
542,70,71.95256916996048,33,52
544,70,91.45395799676899,6,52
546,70,85.93039772727273,10,52
547,80,72.78376990241398,28,64
570,70,77.72897514470549,19,52
580,80,49.333333333333336,64,64
581,80,82.6753507014028,11,64
582,70,65.25328330206379,41,52
583,70,77.67719568567027,20,52
585,80,89.01557006529383,4,64
642,80,85.94585561497327,8,64
644,70,74.46856625961104,28,52
650,80,86.04250698107354,7,64
654,70,93.75717305949864,4,52
655,70,81.89723320158103,15,52
656,70,56.06060606060607,50,52
658,70,89.11902530459231,8,52
661,70,47.25407055630937,51,52
662,70,74.87325174825175,27,52
665,70,94.46563698559139,3,52
668,70,80.4993975097068,17,52
672,80,64.50267379679146,49,64
673,80,68.25840825840825,44,64
705,80,97.44488070069465,2,64
720,80,72.87878787878788,27,64
760,70,100.0,1,52
768,80,59.60127591706539,55,64
796,70,64.46969696969698,43,52
797,80,82.23890692640693,13,64
799,70,83.52595724688749,13,52
800,60,71.11249481112496,3,5
801,80,64.46969696969698,50,64
802,70,72.38948084334619,32,52
803,80,70.13539651837525,37,64
805,70,68.94504365690806,36,52
806,70,61.84947299077734,45,52
807,80,83.9867717421897,10,64
809,80,66.91489361702128,47,64
811,80,68.40751808744888,41,64
812,70,72.55285412262157,31,52
813,80,70.28598484848484,35,64
1001,70,72.57501119570084,30,52
1002,70,68.43260188087774,37,52
1003,80,59.400386847195364,56,64
1004,80,62.042407994150615,53,64
1008,80,74.02557898375389,24,64
1009,70,61.56089193825043,46,52
1012,80,73.85375494071147,26,64
1013,60,79.1785480706344,2,5
1015,70,61.34871099050204,47,52
1016,70,81.91127272727273,14,52
1018,80,68.32613390928725,43,64
1019,80,71.83766233766235,31,64
1020,70,69.06255212677233,35,52
1021,70,80.99220048587138,16,52
1022,70,85.47398325358851,12,52
1026,60,66.79357679357679,5,5
1027,80,69.21328671328672,40,64
1028,80,68.3695652173913,42,64
1029,80,82.26284584980237,12,64
1030,80,65.51166111375537,48,64
1032,70,92.09294837394012,5,52
1033,80,78.40476190476191,18,64
1036,80,70.47619047619048,34,64
1037,70,60.42087542087542,48,52
1040,80,81.94024645431296,14,64
1042,80,77.13851109520401,19,64
1043,80,55.920454545454554,61,64
1046,70,66.41025641025642,40,52
1047,80,56.06060606060607,60,64
1048,80,76.38257575757576,20,64
1050,80,97.75568181818183,1,64
1052,80,71.35238523852385,33,64
1053,70,67.74458006922937,39,52
1054,80,62.25621414913958,52,64
1055,70,64.50909090909092,42,52
1057,80,72.59009254218836,29,64
1059,80,74.40411178927081,23,64
1061,80,69.5352629433347,39,64
1062,70,76.2905191323422,23,52
30016,70,75.8041958041958,26,52
30035,70,59.24016282225237,49,52
30038,70,79.04545454545455,18,52
30039,70,71.39417894358607,34,52
30040,80,84.15140614780904,9,64
30041,80,68.18387030576648,45,64
30045,80,80.91328026811898,16,64
30046,70,77.61391511187097,21,52
30048,60,87.27696216826651,1,5
30050,60,67.39116517285531,4,5
30053,50,74.15289256198348,1,2
30055,70,76.23504784688996,25,52
30056,80,81.57864956620143,15,64
30058,70,63.03608605135324,44,52
30063,70,96.00558009765172,2,52
