id,validness,꿀잠소리,노래자랑,도전 실버벨,듣는대화,마음그림터,마음세탁소,마음스트레칭,명언산책,무비순이,순이 특별대화,순이극장,순이대화,순이인생,순이책방,순이체조,시낭독,시시콜콜,영어교실,요가명상,일어교실,total,recommend
1022,1,0,2,1,2,1,0,2,0,0,4,0,1,0,1,2,2,0,0,2,0,20,순이인생
1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,마음스트레칭
1027,1,0,4,4,0,4,1,5,5,3,2,3,1,7,6,5,2,4,0,2,0,58,일어교실
1028,1,0,1,12,1,3,1,0,0,0,1,1,2,1,0,16,0,1,0,1,0,41,노래자랑
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이극장
1030,1,0,3,2,3,0,0,1,0,0,1,1,2,0,0,2,0,0,0,0,0,15,순이책방
1032,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,11,듣는대화
1033,1,0,5,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,11,순이체조
1036,1,0,0,1,1,2,0,0,1,0,1,0,0,0,2,1,1,1,0,5,0,16,마음스트레칭
1037,1,0,1,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,9,마음스트레칭
1040,1,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,7,요가명상
1042,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,영어교실
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이인생
1046,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,6,순이책방
1047,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,시시콜콜
1048,1,0,9,1,7,1,1,0,0,0,3,0,6,1,0,0,0,1,0,0,0,30,일어교실
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,꿀잠소리
1052,1,0,3,1,0,5,2,0,0,3,0,0,0,0,0,2,0,3,0,2,0,21,마음스트레칭
1053,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,18,순이 특별대화
1054,1,0,1,2,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,9,마음그림터
1055,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,4,0,0,11,요가명상
1057,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,순이체조
1059,1,0,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,18,순이인생
1061,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,순이체조
1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,도전 실버벨
